year,month,sales_volume,sales_amount,unit_price
2018,1,5120,614855.4294427952,120.08895106304594
2018,2,5171,625998.0365748265,121.05937663407977
2018,3,5600,692283.3362932758,123.62202433808497
2018,4,5382,650124.9572483298,120.79616448315306
2018,5,5792,661148.5340251937,114.14857286346576
2018,6,4990,574158.9223716137,115.06190829090454
2018,7,5182,611935.1451714258,118.08860385399957
2018,8,4189,514492.7862766151,122.81995375426477
2018,9,5343,647022.6682723431,121.09726151456917
2018,10,5216,626925.5114298526,120.1927744305699
2018,11,5194,630403.3027011765,121.37144834446987
2018,12,4100,486191.59066582413,118.58331479654247
2019,1,5265,660134.0136965154,125.38157904967053
2019,2,6666,851230.2637623377,127.69730929528019
2019,3,8099,967112.7712997458,119.41138057781772
2019,4,9169,1107398.2190127084,120.77633537056478
2019,5,11550,1389349.3343784134,120.28998566046869
2019,6,13762,1600740.7956887286,116.31600026803724
2019,7,14515,1813720.7414889992,124.95492535232512
2019,8,13029,1653404.7617683876,126.90189283662504
2019,9,19072,2228438.426630371,116.84345777214612
2019,10,23676,3032614.3275531107,128.0881199338195
2019,11,23018,2948961.1389440014,128.11543743783133
2019,12,26720,3276759.366162715,122.63320981147886
2020,1,32897,4487670.78974734,136.415806600825
2020,2,33536,4673549.7967869295,139.3591900282362
2020,3,53892,7557029.346827454,140.22543878177567
2020,4,55178,7584601.413818853,137.45698310592724
2020,5,87734,12418131.973041203,141.54298188890513
2020,6,77869,10393968.693644842,133.48018715592653
2020,7,80516,11392363.342255967,141.49191890128628
2020,8,96269,13071171.86355925,135.77758015102734
2020,9,110968,15151433.60710246,136.53876439245963
2020,10,161932,22704708.617021926,140.21137648532672
2020,11,143702,19066203.444234084,132.67876191169285
2020,12,145497,19796505.505364716,136.06126246839946
2021,1,135385,19378309.804086328,143.1348362380347
2021,2,193205,26420180.425058965,136.74687728091388
2021,3,266724,38719137.77485394,145.16555606114912
2021,4,184077,26429704.65087945,143.5796142422978
2021,5,414619,60450131.90018508,145.7968204548877
2021,6,435086,62218727.63844078,143.00328587552985
2021,7,396871,57797521.65978085,145.63301843616907
2021,8,456930,63921968.14903274,139.89444367634593
2021,9,390770,53954444.15306177,138.07212465916464
2021,10,658490,89827432.14612174,136.41426923130456
2021,11,509813,74083049.51335707,145.31416325860084
2021,12,759364,105483052.94717853,138.9097362360851
2022,1,855218,108337567.45154642,126.67830594251572
2022,2,1065395,142574259.08954725,133.82290989684319
2022,3,1354959,171152756.21751848,126.31581931078244
2022,4,956350,123155818.71118383,128.77693178353513
2022,5,1199675,155678822.8932953,129.76749777506015
2022,6,2100768,279914351.6449426,133.24381923417653
2022,7,2215890,278154419.4496465,125.52717844732658
2022,8,1430391,191158861.6469758,133.64098463075885
2022,9,2765470,364978372.95740217,131.9769778581587
2022,10,3963792,514317618.51886785,129.75393726988395
2022,11,3942570,501874124.9158713,127.29618622265967
2022,12,3871935,488111668.09365857,126.06401401202722
2023,1,4900202,675192466.039786,137.78870055556607
2023,2,5800607,770543031.5099586,132.83834459220537
2023,3,6870000,965339796.2244036,140.5152541811359
2023,4,5330039,730572323.3912308,137.06697519309537
2023,5,9118236,1238590962.4583623,135.83668622509467
2023,6,10242746,1434981133.304857,140.09730723624867
2023,7,11465619,1578770777.3328388,137.69607880157528
2023,8,10166998,1362971164.3551514,134.0583684933499
2023,9,14414362,1979580855.692708,137.33392124415275
2023,10,19529791,2597507529.334486,133.00232088169741
2023,11,20253640,2806447925.3310337,138.56511349718045
2023,12,20989990,2887009966.5050707,137.5422268664764
2024,1,24640239,3587741464.7504377,145.60497829385656
2024,2,26574783,3567245910.9538326,134.23424420639043
2024,3,23505475,3314696265.9627056,141.01805072914738
2024,4,24140018,3262306145.774237,135.1409988913114
2024,5,49431794,6780127308.646641,137.1612632276029
2024,6,58660119,8309832777.539366,141.66068734943013
2024,7,54732086,7840422302.446799,143.25093150015877
2024,8,59012619,7834354750.309609,132.75727942712743
2024,9,82716015,10950743038.510109,132.38963504842573
2024,10,108740850,15047945015.692366,138.3835514959867
2024,11,114858672,16119976416.187986,140.3461848852648
2024,12,107456989,14319405074.50217,133.2570846043543
2025,1,98025648,13629797158.353746,139.04317325557233
2025,2,148127358,20643472825.992046,139.36299887284864
2025,3,189287913,27806994164.651253,146.90316842708944
2025,4,155864459,23103371029.363506,148.22731992649784
2025,5,313433206,45741571278.99067,145.93722172178104
2025,6,316555941,44621610347.12492,140.95963641107252
2025,7,307716686,43410141983.46457,141.07178439931778
2025,8,250724225,35434114057.58262,141.3270459110308
2025,9,474106537,70143937109.91351,147.94973626342028
2025,10,527777452,76597890227.05894,145.13293422595655
2025,11,424431933,63844386309.507835,150.42314525732877
2025,12,671163569,98011692061.67104,146.03249727589287
