year,month,sales_volume,sales_amount,unit_price
2018,1,6212,600360.8473517332,96.64533923884953
2018,2,5336,559493.1749842506,104.85254403752822
2018,3,6862,696093.940290066,101.4418449854366
2018,4,7756,767096.3044087933,98.90359778349578
2018,5,9309,939550.6759954869,100.92928091046159
2018,6,7787,759060.1248905888,97.4778637332206
2018,7,7732,810453.0592994877,104.81803663987166
2018,8,6430,639488.0988704712,99.45382564081979
2018,9,7957,804761.6411583176,101.13882633634756
2018,10,9151,880944.5141434482,96.26756793175043
2018,11,11480,1115755.6427605166,97.19125808018438
2018,12,10421,1008882.2408984025,96.81242115904448
2019,1,7361,770754.2887422714,104.70782349439905
2019,2,6866,700161.6079363434,101.97518321240072
2019,3,8744,874174.1916419494,99.97417562236383
2019,4,10242,1082525.0775712847,105.69469611123655
2019,5,12193,1240075.3334062123,101.70387381335293
2019,6,13428,1478114.7823414332,110.07706153868284
2019,7,11520,1161517.8016702125,100.8261980616504
2019,8,12632,1313459.750842696,103.97876431623624
2019,9,17377,1907321.9267139959,109.76128944662462
2019,10,21815,2291039.887934437,105.02131047143878
2019,11,27914,2898393.3084587236,103.83296225760277
2019,12,23279,2562840.6969310674,110.09238785734213
2020,1,16393,1563252.4133552227,95.36097196091153
2020,2,24999,2351892.503400088,94.0794633145361
2020,3,11970,1164583.9563166609,97.2918927582841
2020,4,25217,2362786.097910599,93.69814402627588
2020,5,25742,2521820.8931017956,97.96522776403526
2020,6,18240,1701278.9519450725,93.27187236540968
2020,7,27070,2670245.013125877,98.64222434894263
2020,8,16971,1686924.524504238,99.40041980462189
2020,9,33708,3350697.979717869,99.40364245039365
2020,10,48644,4837370.549580399,99.44434153401033
2020,11,37512,3470136.4006483983,92.50736832609294
2020,12,39914,3624997.2453108765,90.82019455105669
2021,1,36565,3662321.090387612,100.1591984243843
2021,2,42098,4141418.928209576,98.37566934793995
2021,3,48413,4913387.545414236,101.48901215405441
2021,4,76925,7692651.146066026,100.00196484973709
2021,5,68086,7155065.454231863,105.0886445705705
2021,6,56953,5895020.382247016,103.50675789242034
2021,7,64144,6508454.586640938,101.46630373286571
2021,8,59449,5771458.066068676,97.08250880702242
2021,9,86759,8745684.279018749,100.80434628129356
2021,10,95377,10035619.181947041,105.22053725685481
2021,11,138241,13574439.900579406,98.1940227615498
2021,12,124862,12919731.429379782,103.47208461645482
2022,1,95012,10761391.747947253,113.26350090459367
2022,2,82497,9310030.430329708,112.85295744487324
2022,3,126535,13491560.505268175,106.62315173879303
2022,4,157220,17510150.44752414,111.37355582956458
2022,5,171582,18258663.025958855,106.41362745485455
2022,6,163494,18482657.412273873,113.04792476955652
2022,7,223437,23952180.140633628,107.19880834702232
2022,8,168044,18565538.042736225,110.48021972064593
2022,9,331005,34519490.29181503,104.28691497655633
2022,10,264697,28244755.93851049,106.70599190210123
2022,11,317831,33359748.00776939,104.96064892275892
2022,12,337088,36963442.7709307,109.65517245031178
2023,1,348056,37477540.53559003,107.67675470496135
2023,2,353134,41165612.40920158,116.5722145395277
2023,3,480244,51530718.97206951,107.30111978925194
2023,4,399579,43393200.546175696,108.5973000237142
2023,5,531508,59830782.22503806,112.56798058550024
2023,6,662067,77156818.7790435,116.53929100686712
2023,7,726609,81594984.90187731,112.2955880010808
2023,8,497385,52999020.80248108,106.55532595973155
2023,9,885399,102256552.57559368,115.4920579033788
2023,10,1192615,127842002.47565238,107.1946960885553
2023,11,1422376,158126597.29244673,111.17074338462315
2023,12,1511837,167417667.8778698,110.73790883400116
2024,1,634325,73464092.64669898,115.81459448500213
2024,2,967956,112678340.3457923,116.40853545594251
2024,3,1224974,143552127.20839918,117.18789721936888
2024,4,1580323,183801330.4911912,116.30617949064286
2024,5,2017618,223925607.46552575,110.98513567262275
2024,6,1347067,159019105.70756277,118.04840123584259
2024,7,1362135,154814342.8516625,113.65565296513377
2024,8,1218350,140414134.90904912,115.24942332584982
2024,9,2377742,262323813.63932556,110.32475922085978
2024,10,2097458,236400722.57617584,112.70820325182952
2024,11,3859738,438661582.93242306,113.65061124159801
2024,12,2723695,323666889.87875444,118.83374969618642
2025,1,1663438,195407291.36212993,117.47194146227868
2025,2,1582897,189084780.9537251,119.4548861699309
2025,3,3679607,447950071.26395214,121.73856372812426
2025,4,4083004,480202583.67932945,117.61011835387119
2025,5,5209070,601176130.4984108,115.409493536929
2025,6,3098622,376404080.1595098,121.47466846859984
2025,7,4954615,590498053.0801561,119.18142036871808
2025,8,2927767,334992110.4817238,114.41897886058686
2025,9,5623867,674854238.7268009,119.99825720039271
2025,10,8745420,1041029876.8209859,119.03715051089438
2025,11,7532237,890420025.081776,118.21455234106097
2025,12,9992664,1185879488.1291416,118.67500879936937
